Name,Artist,Spotify URI
Lookin'&For,7SEEDS & Green Assassin Dollar,
Amanojack,owls,
Tokyo,Green Assassin Dollar,
Tekitou Ill Feat.Maten,CHUCKIE & Green Assassin Dollar,
Grow Up Mind,Green Assassin Dollar,
Crazy 4 U,Green Assassin Dollar,
aLL I Need,Green Assassin Dollar,
Die Hard,"Kendrick Lamar, Blxst & Amanda Reifer",
Every Good Girl,Blxst,
Overrated,Blxst,
Be Alone,Blxst,
2 Phones,Kevin Gates,
Really Really,Kevin Gates,
Big Gangsta,Kevin Gates,
POP STAR,DaBaby,
RBS Intro,Kevin Gates,
Eternal Love,EXILE TAKAHIRO,
Osmanthus,Aina The End,
Jikanyo Tomare,Eikichi Yazawa,
pick up the phone,Young Thug & Travis Scott,
Ghost Town,Kanye West,
BBO,Migos,
Jerusalema,Master KG,
Time Today,Moneybagg Yo,
U Played,Moneybagg Yo,
Wockesha,Moneybagg Yo,
Said Sum,Moneybagg Yo,
Wat U On,Moneybagg Yo,
'97 Hov,Benny the Butcher,
Pana,Tekno,
Make a Hit,Kodak Black,
Cognitive,Kodak Black,
Back That Azz Up,Juvenile,
Bad Bad,YoungBoy Never Broke Again,
Big Truck,YoungBoy Never Broke Again,
Death Enclaimed,YoungBoy Never Broke Again,
Revolution,Diplo,
Beats Knockin,"Jack Ü, Skrillex & Diplo",
To Ü,"Jack Ü, Skrillex & Diplo",
Jungle Bae,"Jack Ü, Skrillex & Diplo",
Holla Out,"Jack Ü, Skrillex & Diplo",
Take Ü There,"Jack Ü, Skrillex & Diplo",
Waratte-Ikiru,EASTA & NAOtheLAIZA,
7 Days A Week,Doe Boy & Southside,
If You Ask Me,Doe Boy & Southside,
Tweakin,Doe Boy & Southside,
Yessirski,Doe Boy & Southside,
Yesterday,Doe Boy & Southside,
Sorry Bout That,Yeat,
Parlay,Cash Cobain,
Poppin,Yeat,
I Don’t Text Back,YoungBoy Never Broke Again,
Monëy so big,Yeat,
On ne dit jamais assez aux gens qu'on aime qu'on les aime,Louis Chedid,
Never Catch Me,Flying Lotus,
Time: The Donut of the Heart,J Dilla,
At Your Best,Aaliyah,
Under the Influence,Chris Brown,
Go Crazy,Chris Brown & Young Thug,
New Flame,Chris Brown,
Autumn Leaves,Chris Brown,
Don't Think They Know,Chris Brown,
Fine China,Chris Brown,
All I Want,Chris Brown,
No Guidance,Chris Brown,
Sorry Enough,Chris Brown,
Undecided,Chris Brown,
Early 2K,Chris Brown,
Balls Out,¥ellow Bucks,
Thought It Was a Drought,Future,
Lil One,Future,
Stick Talk,Future,
Rich $ex,Future,
Fuck Up Some Commas,Future,
Live From the Gutter,Drake & Future,
I'm the Plug,Drake & Future,
Jersey,Future,
In Her Mouth,Future,
Low Life,Future,
Wicked,Future,
I'm so Groovy,Future,
Mask Off,Future,
Patek Water,Future & Young Thug,
Mink Flow,Future & Young Thug,
Fine China,Future & Juice WRLD,
Crushed Up,Future,
Unicorn Purp,Future,
First Off,Future,
Government Official,Future,
HiTek Tek,Future,
Solitaires,Future,
Tycoon,Future,
Accepting My Flaws,Future,
Over Your Head,Future & Lil Uzi Vert,
I'M ON ONE,Future,
Type Shit,"Future, Metro Boomin, Travis Scott & Playboi Carti",
Like That,"Future, Metro Boomin & Kendrick Lamar",
Where My Twin @,Future & Metro Boomin,
fukumean,Gunna,
Top Off,Gunna,
Drip Too Hard,Lil Baby & Gunna,
Speed It Up,Gunna,
DOLLAZ ON MY HEAD,Gunna,
Slatty,"Young Stoner Life, Young Thug & Gunna",
Ski,"Young Stoner Life, Young Thug & Gunna",
Diamonds Dancing,"Young Stoner Life, Young Thug & Gunna",
pushin P,Gunna & Future,
poochie gown,Gunna,
George Bondo,Westside Gunn,
Kostas,"Westside Gunn, Conway the Machine & Benny the Butcher",
Anza,Conway the Machine,
8am in Charlotte,Drake,
Michael Irvin,Westside Gunn,
Melo Chip and a Brick,Stove God Cooks,
Self Luh,Mach-Hommy,
LOST FOREVER,Travis Scott,
Brand New 911,Joey Bada$$,
KITCHEN LIGHTS,Westside Gunn & Stove God Cooks,
No Problems,Westside Gunn,
DEVASTATED,Joey Bada$$,
Show Me,Joey Bada$$,
Cruise Control,Joey Bada$$,
Written in the Stars,Joey Bada$$,
Hardknock,Joey Bada$$,
Pennyroyal,Joey Bada$$,
Righteous Minds,Joey Bada$$,
Blue,PETZ,
Put in Work,Jin Dogg,
On My Mama,Jin Dogg,
Little Demon,Jin Dogg,
Never Get It,"OVER KILL, Jin Dogg & XLARGE",
Feel or Beef Badpop Is Dead,Namedarumaaz,
Sunset,Namedarumaaz,
Walkin,Namedarumaaz,
Pledge,Namedarumaaz,
Good Day,Namedarumaaz,
Space Ball,Namedarumaaz,
Lost Bubblers,Namedarumaaz,
Rock tha Boat,Namedarumaaz,
100Millions,Namedarumaaz,
Floatin',Namedarumaaz,
Allday,Namedarumaaz,
Graydaychilling,Namedarumaaz,
365days,ASHURAMIC,
Kotodama,ASHURAMIC,
Blue Berry,Japanese Magenese,
Rykey Daddy Dirty,RYKEYDADDYDIRTY,
It's Not Easy,RYKEYDADDYDIRTY,
Tell Me Bad Babylon,RYKEYDADDYDIRTY,
All Gods Bless Me,RYKEYDADDYDIRTY,
Cry Now Smile Later,RYKEYDADDYDIRTY,
Never Die Cop Man,RYKEYDADDYDIRTY,
Bad Daddy,RYKEYDADDYDIRTY,
God,RYKEYDADDYDIRTY,
Beronica,RYKEYDADDYDIRTY,
Mother Jane,RYKEYDADDYDIRTY,
Honne,RYKEY,
Lord of the Man,RYKEY,
Good Die Young,DJ CHARI & DJ TATSUKI,
Halftime,Young Thug,
Digits,Young Thug,
Tsunami,Young Thug & Young Stoner Life,
Chanel,Young Thug & Young Stoner Life,
Dirty Shoes,Young Thug & Young Stoner Life,
Goin Up,Young Thug & Young Stoner Life,
Hop Off a Jet,Young Thug,
Millions,Young Thug,
Ecstasy,Young Thug,
Lil Baby,Young Thug,
The London,Young Thug,
Peepin Out The Window,Young Thug,
Livin It Up,Young Thug,
Icy Hot,Young Thug,
Acceptable In the 80's,Calvin Harris,
Ready for the Weekend,Calvin Harris,
Stars Come Out,Calvin Harris,
You Used to Hold Me,Calvin Harris,
Blue,Calvin Harris,
The Rain,Calvin Harris,
I'm Not Alone,Calvin Harris,
Flashback,Calvin Harris,
Worst Day,Calvin Harris,
Relax,Calvin Harris,
Limits,Calvin Harris,
Yeah Yeah Yeah La La La,Calvin Harris,
I'm Not Alone,Calvin Harris,
Bounce,Calvin Harris,
Feel So Close,Calvin Harris,
We Found Love,Calvin Harris,
We'll Be Coming Back,Calvin Harris,
Sweet Nothing,Calvin Harris,
Thinking About You,Calvin Harris,
Under Control,Calvin Harris & Alesso,
Blame,Calvin Harris,
Love Now,Calvin Harris,
Pray to God,Calvin Harris,
Open Wide,Calvin Harris,
Together,Calvin Harris,
Slide,Calvin Harris,
Cash Out,Calvin Harris,
Heatstroke,Calvin Harris,
Prayers Up,Calvin Harris,
Skrt On Me,Calvin Harris,
Feels,Calvin Harris,
By Your Side,Calvin Harris,
Charge It,ENNY,
Whereva,Brenk Sinatra,
Like a Boss,JC Gwalla,
My B,JC Gwalla,
Painkiller,Judas Priest,
Hater,Korn,
It Won't Stop,Sevyn Streeter,
Weak,SWV,
Are You That Somebody,Aaliyah,
NSV,Bella Shmurda & Tiwa Savage,
Ara,Bella Shmurda,
ROXANNE,Arizona Zervas,
Mitemina,DJ CHARI,
All the Ways,The Secret Sisters & Ray LaMontagne,
Bridge Over Troubled Water,Jacob Collier,
What You Need,Bring Me The Horizon,
FE!N,Travis Scott,
Dream!,Only U,
CARNIVAL,"¥$, Kanye West, Ty Dolla $ign & Rich The Kid",
What It Is,Doechii,
Stranger,"LEX, Yung sticky wom & Only U",
N95,Kendrick Lamar,
Privileged Rappers,Drake & 21 Savage,
Amor Mío / Sabrá Dios / Sabor a Mí,Alvaro Carrillo,
Not Like Us,Kendrick Lamar,
How,Ella Mai,
Genzai,"ShowyVICTOR, Zot On the Wave & dubby bunny",
euphoria,Kendrick Lamar,
Bane,Destroy Lonely,
Team Tomodachi,"Yuki Chiba, SOCKS, ¥ellow Bucks, MaRI & DJ RYOW",
The Grower's Club Anthem,NORIKIYO,
Purple Ape,SahBabii,
ええやん,Chesta,
U My Everything,Sexyy Red & Drake,
5xl,5lack,
Nippon,LEX,
Sunrise,Snoop Dogg,
Roadrunner,Migos,
STACK,eyden,
Everything,7SEEDS & Green Assassin Dollar,
Don't You Worry Child,Swedish House Mafia,
On BS,Drake & 21 Savage,
Kill Bill,SZA,
Primal,Tokyo Incidents,
Luv,Nujabes,
Satian,RYKEYDADDYDIRTY,
Incident,KID FRESINO,
What?,¥ellow Bucks,
You Are the Sunshine of My Life,Stevie Wonder,
Crazy Love,Poco,
My Revolution,Misato Watanabe,
mmadu,CKay,
Yessirskiii,Lil Uzi Vert & 21 Savage,
Karma,Ashley,
Grow Up Mind,RYKEY × BADSAIKUSH,
Sprinter,Dave & Central Cee,
Good Bye,Green Assassin Dollar,
Tragic Beauty,LUNA SEA,
Mary Jane,RYKEY × BADSAIKUSH,
Nijiiro,Green Assassin Dollar,
Nagisa Hotel,Keisuke Kuwata,
Drip Down On,Green Assassin Dollar,
Lady Madonna / Yuutsu Naru Spider,Love Psychedelico,
Tadanakitakunaruno,Miho Nakayama,
Tekitou Ill Feat.Defrug,CHUCKIE & Green Assassin Dollar,
Tekitou Ill Feat.Mc Matsushima,CHUCKIE & Green Assassin Dollar,
Mugi and Hop,Green Assassin Dollar,
Bainin,Dutch Montana,
TOPIA TWINS,Travis Scott,
Luv,Nujabes,
Tree Among Shrubs,Men I Trust,
Erokuteiionna,"Leon Fanourakis, SANTAWORLDVIEW & Xansei",
Wondering,Green Assassin Dollar,
Ungrateful,Megan Thee Stallion,
Set,Jin Dogg & OVER KILL,
Hollow Me,Yura Yura Teikoku,
Girl,唾奇 × Sweet William,
Tomodachi,Anzenchitai,
Thuggin’,Freddie Gibbs & Madlib,
café Bleu,Keisuke Kuwata,
Nothing Into Something,Savannah Ré,
Still,ANARCHY & BADSAIKUSH,
I'M THAT BITCH,BIA & Timbaland,
Prove,KANDYTOWN,
Marigold,Aimyon,
Reconsider,Cafuné,
Vanessa,RYKEYDADDYDIRTY,
Dreamin',Green Assassin Dollar,
Migisyasen,"KOWICHI, Zot On the Wave & SELF MADE",
Pen and Note,Watson,
